name,set,quantity,type,color,altArt,overnumbered,image
Scuttle Crab,UNL,1,UNIT,CALM,FALSE,FALSE,scuttle-crab-unl.avif
Death Mark,VEN,1,SIGNATURE SPELL,FURY&CHAOS,false,false,death-mark-ven.avif
Abandon,UNL,0,,SPELL,false,false,abandon-unl.avif
Abandoned Hall,UNL,0,BATTLEFIELD,,false,false,abandoned-hall-unl.avif
Acceptable Losses,OGN,0,SPELL,,false,false,acceptable-losses-ogn.avif
Adaptatron,OGN,0,UNIT,,false,false,adaptatron-ogn.avif
Against The Odds,SFD,0,SPELL,,false,false,against-the-odds-sfd.avif
Ahri Inquisitive,OGN,0,CHAMPION UNIT,,true,false,ahri-inquisitive-ogn-a.avif
Ahri Inquisitive,OGN,0,CHAMPION UNIT,,false,false,ahri-inquisitive-ogn.avif
Ahri Inquisitive,VEN,0,CHAMPION UNIT,,false,false,ahri-inquisitive-ven.avif
Albus Ferros,OGN,0,UNIT,,false,false,albus-ferros-ogn.avif
Allay Eager Admirer,UNL,0,UNIT,,false,false,allay-eager-admirer-unl.avif
Altar Of Blood,UNL,0,BATTLEFIELD,,false,false,altar-of-blood-unl.avif
Altar To Unity,OGN,0,BATTLEFIELD,,false,false,altar-to-unity-ogn.avif
Amateur Recital,UNL,0,BATTLEFIELD,,false,false,amateur-recital-unl.avif
Angler Beast,UNL,0,UNIT,,false,false,angler-beast-unl.avif
Anivia Primal,OGN,0,CHAMPION UNIT,,false,false,anivia-primal-ogn.avif
Aphelios Exalted,SFD,0,CHAMPION UNIT,,false,false,aphelios-exalted-sfd.avif
Apprentice Smith,SFD,0,UNIT,,false,false,apprentice-smith-sfd.avif
Arena Bar,OGN,0,GEAR,,false,false,arena-bar-ogn.avif
Arena Kingpin,UNL,0,UNIT,,false,false,arena-kingpin-unl.avif
Arise,SFD,0,SIGNATURE SPELL,,false,false,arise-sfd.avif
Armed Assailant,SFD,0,UNIT,,false,false,armed-assailant-sfd.avif
Aspirants Climb,OGN,0,BATTLEFIELD,,false,false,aspirants-climb-ogn.avif
Atakhan,UNL,0,UNIT,,false,false,atakhan-unl.avif
Ava Achiever,OGN,0,UNIT,,false,false,ava-achiever-ogn.avif
Baccai Reaper,VEN,0,UNIT,,false,false,baccai-reaper-ven.avif
Baccai Sandspinner,VEN,0,UNIT,,false,false,baccai-sandspinner-ven.avif
Back Alley Bar,OGN,0,BATTLEFIELD,,false,false,back-alley-bar-ogn.avif
Back Off,UNL,0,SPELL,,false,false,back-off-unl.avif
Back To Back,OGN,0,SPELL,,false,false,back-to-back-ogn.avif
Bandle Soldier,UNL,0,UNIT,,false,false,bandle-soldier-unl.avif
Bandle Tree,OGN,0,BATTLEFIELD,,false,false,bandle-tree-ogn.avif
Baron Pit,UNL,0,BATTLEFIELD,,false,false,baron-pit-unl.avif
Battering Ram,SFD,0,UNIT,,false,false,battering-ram-sfd.avif
Bewitching Spirit,UNL,0,UNIT,,false,false,bewitching-spirit-unl.avif
Bf Sword,SFD,0,GEAR,,false,false,bf-sword-sfd.avif
